Year,Company,Genre,GlobalSales
1980,Atari,Shooter,4.31
1980,Atari,Shooter,2.76
1980,Atari,Misc,1.15
1980,Atari,Misc,1.05
1980,Atari,Fighting,0.77
1980,Atari,Sports,0.49
1980,Atari,Action,0.34
1980,Atari,Misc,0.27
1980,Atari,Misc,0.24
1981,Atari,Platform,4.5
1981,Atari,Action,2.2
1981,Atari,Shooter,2.13
1981,Atari,Action,1.97
1981,Atari,Puzzle,1.65
1981,Atari,Shooter,1.6
1981,Atari,Platform,1.46
1981,Atari,Shooter,1.36
1981,Atari,Shooter,1.27
1981,Atari,Shooter,1.1
1981,Atari,Shooter,1.05
1981,Atari,Platform,0.97
1981,Atari,Action,0.93
1981,Atari,Action,0.82
1981,Atari,Action,0.79
1981,Atari,Action,0.77
1981,Atari,Shooter,0.73
1981,Atari,Action,0.69
1981,Atari,Action,0.67
1981,Atari,Puzzle,0.59
1981,Atari,Action,0.59
1981,Atari,Action,0.5
1981,Atari,Racing,0.48
1981,Atari,Simulation,0.45
1981,Atari,Action,0.45
1981,Atari,Action,0.43
1981,Atari,Action,0.4
1981,Atari,Action,0.39
1981,Atari,Action,0.39
1981,Atari,Action,0.37
1981,Atari,Action,0.36
1981,Atari,Action,0.34
1981,Atari,Shooter,0.34
1981,Atari,Action,0.33
1981,Atari,Action,0.31
1981,Atari,Action,0.29
1981,Atari,Sports,0.26
1981,Atari,Action,0.24
1981,Atari,Shooter,0.24
1981,Atari,Shooter,0.22
1981,Atari,Action,0.22
1981,Atari,Action,0.22
1981,Atari,Sports,0.21
1981,Atari,Sports,0.19
1981,Atari,Action,0.17
1981,Atari,Sports,0.13
1982,Atari,Puzzle,7.81
1982,Atari,Puzzle,1.64
1982,Atari,Platform,1.59
1982,Atari,Racing,1.18
1982,Atari,Shooter,1.12
1982,Atari,Platform,1.1
1982,Atari,Platform,1.08
1982,Atari,Misc,0.87
1982,Atari,Shooter,0.78
1982,Atari,Shooter,0.77
1982,Atari,Platform,0.72
1982,Atari,Action,0.66
1982,Atari,Action,0.63
1982,Atari,Shooter,0.62
1982,Atari,Action,0.62
1982,Atari,Puzzle,0.58
1982,Atari,Sports,0.55
1982,Atari,Action,0.54
1982,Atari,Platform,0.54
1982,Atari,Shooter,0.5
1982,Atari,Sports,0.5
1982,Atari,Action,0.5
1982,Atari,Action,0.4
1982,Atari,Racing,0.39
1982,Atari,Action,0.38
1982,Atari,Action,0.34
1982,Atari,Action,0.34
1982,Atari,Action,0.32
1982,Atari,Action,0.31
1982,Atari,Action,0.28
1982,Atari,Action,0.27
1982,Atari,Action,0.25
1982,Atari,Action,0.22
1982,Atari,Action,0.17
1982,Atari,Action,0.15
1982,Atari,Action,0.14
1983,Atari,Platform,1.31
1983,Atari,Puzzle,0.78
1983,Atari,Action,0.77
1983,Atari,Action,0.5
1983,Atari,Shooter,0.48
1983,Atari,Action,0.46
1983,Atari,Adventure,0.4
1983,Atari,Action,0.34
1983,Atari,Action,0.33
1983,Atari,Action,0.29
1983,Atari,Action,0.17
1983,Nintendo,Sports,3.2
1983,Nintendo,Platform,2.28
1983,Nintendo,Misc,2.14
1983,Nintendo,Platform,1.13
1983,Nintendo,Platform,1.11
1983,Nintendo,Platform,1.1
1984,Atari,Racing,0.27
1984,Nintendo,Shooter,28.31
1984,Nintendo,Racing,4.16
1984,Nintendo,Sports,4.01
1984,Nintendo,Sports,2.17
1984,Nintendo,Action,1.85
1984,Nintendo,Racing,1.52
1984,Nintendo,Shooter,1.52
1984,Nintendo,Misc,1.45
1984,Nintendo,Shooter,1.27
1984,Nintendo,Puzzle,1.22
1984,Nintendo,Puzzle,1.1
1984,Nintendo,Puzzle,0.82
1984,Nintendo,Platform,0.69
1985,Atari,Puzzle,0.45
1985,Nintendo,Action,0.02
