Year,Company,Genre,Platform,GlobalSales
1980,Atari,Shooter,2600,4.31
1980,Atari,Shooter,2600,2.76
1980,Atari,Misc,2600,1.15
1980,Atari,Misc,2600,1.05
1980,Atari,Fighting,2600,0.77
1980,Atari,Sports,2600,0.49
1980,Atari,Action,2600,0.34
1980,Atari,Misc,2600,0.27
1980,Atari,Misc,2600,0.24
1981,Atari,Platform,2600,4.5
1981,Atari,Action,2600,2.2
1981,Atari,Shooter,2600,2.13
1981,Atari,Action,2600,1.97
1981,Atari,Puzzle,2600,1.65
1981,Atari,Shooter,2600,1.6
1981,Atari,Platform,2600,1.46
1981,Atari,Shooter,2600,1.36
1981,Atari,Shooter,2600,1.27
1981,Atari,Shooter,2600,1.1
1981,Atari,Shooter,2600,1.05
1981,Atari,Platform,2600,0.97
1981,Atari,Action,2600,0.93
1981,Atari,Action,2600,0.82
1981,Atari,Action,2600,0.79
1981,Atari,Action,2600,0.77
1981,Atari,Shooter,2600,0.73
1981,Atari,Action,2600,0.69
1981,Atari,Action,2600,0.67
1981,Atari,Puzzle,2600,0.59
1981,Atari,Action,2600,0.59
1981,Atari,Action,2600,0.5
1981,Atari,Racing,2600,0.48
1981,Atari,Simulation,2600,0.45
1981,Atari,Action,2600,0.45
1981,Atari,Action,2600,0.43
1981,Atari,Action,2600,0.4
1981,Atari,Action,2600,0.39
1981,Atari,Action,2600,0.39
1981,Atari,Action,2600,0.37
1981,Atari,Action,2600,0.36
1981,Atari,Action,2600,0.34
1981,Atari,Shooter,2600,0.34
1981,Atari,Action,2600,0.33
1981,Atari,Action,2600,0.31
1981,Atari,Action,2600,0.29
1981,Atari,Sports,2600,0.26
1981,Atari,Action,2600,0.24
1981,Atari,Shooter,2600,0.24
1981,Atari,Shooter,2600,0.22
1981,Atari,Action,2600,0.22
1981,Atari,Action,2600,0.22
1981,Atari,Sports,2600,0.21
1981,Atari,Sports,2600,0.19
1981,Atari,Action,2600,0.17
1981,Atari,Sports,2600,0.13
1982,Atari,Puzzle,2600,7.81
1982,Atari,Puzzle,2600,1.64
1982,Atari,Platform,2600,1.59
1982,Atari,Racing,2600,1.18
1982,Atari,Shooter,2600,1.12
1982,Atari,Platform,2600,1.1
1982,Atari,Platform,2600,1.08
1982,Atari,Misc,2600,0.87
1982,Atari,Shooter,2600,0.78
1982,Atari,Shooter,2600,0.77
1982,Atari,Platform,2600,0.72
1982,Atari,Action,2600,0.66
1982,Atari,Action,2600,0.63
1982,Atari,Shooter,2600,0.62
1982,Atari,Action,2600,0.62
1982,Atari,Puzzle,2600,0.58
1982,Atari,Sports,2600,0.55
1982,Atari,Action,2600,0.54
1982,Atari,Platform,2600,0.54
1982,Atari,Shooter,2600,0.5
1982,Atari,Sports,2600,0.5
1982,Atari,Action,2600,0.5
1982,Atari,Action,2600,0.4
1982,Atari,Racing,2600,0.39
1982,Atari,Action,2600,0.38
1982,Atari,Action,2600,0.34
1982,Atari,Action,2600,0.34
1982,Atari,Action,2600,0.32
1982,Atari,Action,2600,0.31
1982,Atari,Action,2600,0.28
1982,Atari,Action,2600,0.27
1982,Atari,Action,2600,0.25
1982,Atari,Action,2600,0.22
1982,Atari,Action,2600,0.17
1982,Atari,Action,2600,0.15
1982,Atari,Action,2600,0.14
1983,Atari,Platform,NES,1.31
1983,Atari,Puzzle,NES,0.78
1983,Atari,Action,NES,0.77
1983,Atari,Action,2600,0.5
1983,Atari,Shooter,NES,0.48
1983,Atari,Action,NES,0.46
1983,Atari,Adventure,NES,0.4
1983,Atari,Action,2600,0.34
1983,Atari,Action,2600,0.33
1983,Atari,Action,2600,0.29
1983,Atari,Action,2600,0.17
1983,Nintendo,Sports,2600,3.2
1983,Nintendo,Platform,2600,2.28
1983,Nintendo,Misc,2600,2.14
1983,Nintendo,Platform,2600,1.13
1983,Nintendo,Platform,2600,1.11
1983,Nintendo,Platform,2600,1.1
1984,Atari,Racing,NES,0.27
1984,Nintendo,Shooter,NES,28.31
1984,Nintendo,Racing,NES,4.16
1984,Nintendo,Sports,NES,4.01
1984,Nintendo,Sports,NES,2.17
1984,Nintendo,Action,NES,1.85
1984,Nintendo,Racing,NES,1.52
1984,Nintendo,Shooter,NES,1.52
1984,Nintendo,Misc,NES,1.45
1984,Nintendo,Shooter,NES,1.27
1984,Nintendo,Puzzle,NES,1.22
